source,target
paper_38920202,mesh_Sodium Chloride Symporter Inhibitors
paper_38920202,mesh_Middle Aged
paper_38920202,mesh_Heart Failure
paper_38920202,"mesh_Kidney Failure, Chronic"
paper_38920202,mesh_Myocardial Infarction
paper_38920202,mesh_Stroke
paper_38920202,mesh_Peripheral Arterial Disease
paper_38920202,mesh_Incidence
paper_38920202,mesh_Proportional Hazards Models
paper_38920202,mesh_Hypertension
paper_38920202,mesh_Cardiovascular Diseases
paper_38920202,mesh_Singapore
paper_35281946,mesh_Binding Sites
paper_35281946,mesh_Brain Neoplasms
paper_35281946,"mesh_Cell Line, Tumor"
paper_35281946,mesh_Cell Movement
paper_35281946,mesh_Cell Proliferation
paper_35281946,mesh_Cell Survival
paper_35281946,mesh_Computational Biology
paper_35281946,mesh_Disease Progression
paper_35281946,mesh_Down-Regulation
paper_35281946,mesh_Female
paper_35281946,"mesh_Gene Expression Regulation, Neoplastic"
paper_35281946,mesh_Gene Knockdown Techniques
paper_35281946,mesh_Glioblastoma
paper_35281946,mesh_Humans
paper_35281946,mesh_Male
paper_35281946,mesh_MicroRNAs
paper_35281946,mesh_Middle Aged
paper_35281946,mesh_Neoplasm Invasiveness
paper_35281946,mesh_Up-Regulation
paper_35281946,mesh_rho-Associated Kinases
paper_38971357,"mesh_Water Pollutants, Chemical"
paper_38971357,mesh_Molybdenum
paper_38971357,mesh_Disulfides
paper_38971357,mesh_Catalysis
paper_38971357,mesh_Graphite
paper_38191877,mesh_Mice
paper_38191877,mesh_Animals
paper_38191877,mesh_Streptococcus pneumoniae
paper_38191877,mesh_Toll-Like Receptor 4
paper_38191877,mesh_Bacterial Proteins
paper_38191877,mesh_Dendritic Cells
paper_38191877,mesh_Streptolysins
paper_27878359,mesh_Aged
paper_27878359,"mesh_Antibiotics, Antineoplastic"
paper_27878359,mesh_Apoptosis
paper_27878359,"mesh_Carcinoma, Transitional Cell"
paper_27878359,"mesh_Cell Line, Tumor"
paper_27878359,mesh_Cell Proliferation
paper_27878359,mesh_Doxorubicin
paper_27878359,"mesh_Drug Resistance, Neoplasm"
