node_id,mesh_term
"mesh_Diet, Ketogenic","Diet, Ketogenic"
"mesh_Antigens, Viral","Antigens, Viral"
mesh_Pseudomonas aeruginosa,Pseudomonas aeruginosa
mesh_Formaldehyde,Formaldehyde
mesh_Triggering Receptor Expressed on Myeloid Cells-1,Triggering Receptor Expressed on Myeloid Cells-1
mesh_Afatinib,Afatinib
"mesh_Suicide, Attempted","Suicide, Attempted"
mesh_Acanthamoeba Keratitis,Acanthamoeba Keratitis
mesh_Bioreactors,Bioreactors
mesh_Munc18 Proteins,Munc18 Proteins
mesh_Psittaciformes,Psittaciformes
mesh_Caspase Activation and Recruitment Domain,Caspase Activation and Recruitment Domain
mesh_Baccharis,Baccharis
mesh_Vaccination Hesitancy,Vaccination Hesitancy
mesh_Arabidopsis,Arabidopsis
mesh_Gliosis,Gliosis
mesh_Zona Pellucida,Zona Pellucida
mesh_Hydrogen-Ion Concentration,Hydrogen-Ion Concentration
mesh_Oculomotor Muscles,Oculomotor Muscles
mesh_Tetraspanins,Tetraspanins
mesh_Aneurysm,Aneurysm
mesh_Xenograft Model Antitumor Assays,Xenograft Model Antitumor Assays
mesh_Mandible,Mandible
mesh_Gingivitis,Gingivitis
mesh_Transgenes,Transgenes
"mesh_Sperm Injections, Intracytoplasmic","Sperm Injections, Intracytoplasmic"
mesh_Glycogen Synthase Kinase 3 beta,Glycogen Synthase Kinase 3 beta
"mesh_Arthritis, Psoriatic","Arthritis, Psoriatic"
mesh_Adenoma,Adenoma
mesh_Fibrinogen,Fibrinogen
"mesh_Housing, Animal","Housing, Animal"
mesh_Network Pharmacology,Network Pharmacology
mesh_Small Molecule Libraries,Small Molecule Libraries
mesh_Urbanization,Urbanization
mesh_Transaldolase,Transaldolase
mesh_Viscosity,Viscosity
mesh_Cannabis,Cannabis
mesh_Oxides,Oxides
mesh_Body Weight,Body Weight
mesh_Fatal Outcome,Fatal Outcome
mesh_Curriculum,Curriculum
mesh_Women,Women
mesh_Catalytic Domain,Catalytic Domain
mesh_Gout,Gout
mesh_Synbiotics,Synbiotics
mesh_Enzyme Activation,Enzyme Activation
mesh_Plant Proteins,Plant Proteins
mesh_Optic Neuritis,Optic Neuritis
mesh_Russia,Russia
mesh_Microelectrodes,Microelectrodes
"mesh_Anesthesia, Inhalation","Anesthesia, Inhalation"
"mesh_RNA, Untranslated","RNA, Untranslated"
mesh_Dengue,Dengue
mesh_Cesium,Cesium
mesh_Vacuoles,Vacuoles
mesh_Coronavirus Nucleocapsid Proteins,Coronavirus Nucleocapsid Proteins
mesh_Risk Management,Risk Management
mesh_Yemen,Yemen
mesh_Radiofrequency Ablation,Radiofrequency Ablation
mesh_Cytochrome P-450 CYP1B1,Cytochrome P-450 CYP1B1
"mesh_Cyclic Nucleotide Phosphodiesterases, Type 3","Cyclic Nucleotide Phosphodiesterases, Type 3"
"mesh_Fatty Acids, Omega-6","Fatty Acids, Omega-6"
mesh_Anti-Infective Agents,Anti-Infective Agents
mesh_Salvia officinalis,Salvia officinalis
mesh_Uremia,Uremia
mesh_AC133 Antigen,AC133 Antigen
"mesh_Blotting, Southern","Blotting, Southern"
mesh_Tylenchida,Tylenchida
mesh_Poly (ADP-Ribose) Polymerase-1,Poly (ADP-Ribose) Polymerase-1
mesh_Lighting,Lighting
mesh_Muscle Cells,Muscle Cells
mesh_Dicrocoelium,Dicrocoelium
mesh_Kinetics,Kinetics
mesh_Brachial Artery,Brachial Artery
mesh_Methanol,Methanol
mesh_Translations,Translations
"mesh_Animals, Wild","Animals, Wild"
mesh_Piperidines,Piperidines
mesh_Infectious bursal disease virus,Infectious bursal disease virus
mesh_Health Facility Administration,Health Facility Administration
mesh_Gravidity,Gravidity
mesh_Hysterectomy,Hysterectomy
mesh_Xanthomatosis,Xanthomatosis
mesh_Pyoderma Gangrenosum,Pyoderma Gangrenosum
mesh_Ecosystem,Ecosystem
mesh_Pelvic Floor,Pelvic Floor
mesh_Matrix Metalloproteinase 1,Matrix Metalloproteinase 1
mesh_Transcription Factors,Transcription Factors
mesh_Exercise Therapy,Exercise Therapy
mesh_Palliative Care,Palliative Care
mesh_Molecular Conformation,Molecular Conformation
mesh_Glucose,Glucose
mesh_Erythromycin,Erythromycin
mesh_Gap Junctions,Gap Junctions
mesh_Oncogenes,Oncogenes
mesh_Self Efficacy,Self Efficacy
"mesh_Carcinoma, Renal Cell","Carcinoma, Renal Cell"
mesh_Cytokine Release Syndrome,Cytokine Release Syndrome
mesh_Staphylococcus,Staphylococcus
mesh_Australia,Australia
mesh_KCNQ Potassium Channels,KCNQ Potassium Channels
mesh_Venoms,Venoms
mesh_Cisplatin,Cisplatin
mesh_Streptolysins,Streptolysins
