node_id,author_name
author_Ji Shou,Ji Shou
author_Lori Griffin,Lori Griffin
author_Kanwal Sheraz,Kanwal Sheraz
author_Leiming Mao,Leiming Mao
author_Isabella G Romano,Isabella G Romano
author_Ling-Wei Wang,Ling-Wei Wang
author_Ivan Tsers,Ivan Tsers
author_Chidinma P Anakwenze,Chidinma P Anakwenze
author_Valeria Conti,Valeria Conti
author_Loukia G Tsaprouni,Loukia G Tsaprouni
author_Jianying Sun,Jianying Sun
author_Ping Zhong,Ping Zhong
author_V Sharma,V Sharma
author_Mohamed Elbadawy,Mohamed Elbadawy
author_Sebastian C J Bacon,Sebastian C J Bacon
author_Huiduan Zheng,Huiduan Zheng
author_Yankun Liu,Yankun Liu
author_Yuanchuan Wang,Yuanchuan Wang
author_Jan Cermak,Jan Cermak
author_Hannah Conner,Hannah Conner
author_Marija Heffer,Marija Heffer
author_Alessio Vegliante,Alessio Vegliante
author_Yoshihiro Kawaoka,Yoshihiro Kawaoka
author_Nahad Sedaghat,Nahad Sedaghat
author_Benjamin Menahem,Benjamin Menahem
author_Francesca D'Este,Francesca D'Este
author_Michael Geissler,Michael Geissler
author_Qiaoyu Li,Qiaoyu Li
author_HannahSofia Brown,HannahSofia Brown
author_Qiufan Zheng,Qiufan Zheng
author_Zaira Tavarez,Zaira Tavarez
author_Assunta D'Amato,Assunta D'Amato
author_Daniel Banov,Daniel Banov
author_Tiziana Russo,Tiziana Russo
author_James Larkin,James Larkin
author_Masoud Amiri Moghaddam,Masoud Amiri Moghaddam
author_Hailey Robles-Holmes,Hailey Robles-Holmes
author_Jose A Foppiani,Jose A Foppiani
author_Ann Hoeben,Ann Hoeben
author_Juan Bi,Juan Bi
author_Syeda Maryam Zehra Zaidi,Syeda Maryam Zehra Zaidi
author_Richard M Martin,Richard M Martin
author_Julie R Palmer,Julie R Palmer
author_Zhenxing Wang,Zhenxing Wang
author_Kushan Dasgupta,Kushan Dasgupta
author_Núria Oliveras-Cañellas,Núria Oliveras-Cañellas
author_Alnajla Alghofaili,Alnajla Alghofaili
author_Laiba Shafique,Laiba Shafique
author_Huawei Gu,Huawei Gu
author_Manal M Kamal,Manal M Kamal
author_Gordon F Heidkamp,Gordon F Heidkamp
author_Ralph H Hruban,Ralph H Hruban
author_Chunfang Zhao,Chunfang Zhao
author_Christina V Müller,Christina V Müller
author_Amjad Rehman Khan,Amjad Rehman Khan
author_Issah Abubakari Samori,Issah Abubakari Samori
author_Wei-Hsian Yin,Wei-Hsian Yin
author_F Barahuie,F Barahuie
author_Yoshitaka Kitamura,Yoshitaka Kitamura
author_Eleonora Sparvieri,Eleonora Sparvieri
author_Gard W Otis,Gard W Otis
